id,employee_id,target_role_id,target_role_name,target_timeline_months,current_progress_pct,status,notes
121,121,14,Head - Electrical & Electronics,18,38.0,Active,Aligned with annual career development plan.
122,122,63,Head - AI & Digital Initiatives,24,38.4,Active,Aligned with annual career development plan.
123,123,14,Head - Electrical & Electronics,18,60.4,Active,Aligned with annual career development plan.
124,124,4,Senior Mechanical Engineer,18,7.5,Active,Aligned with annual career development plan.
125,125,33,Specialist - Rolling Mill Operations,18,46.2,Active,Aligned with annual career development plan.
126,126,21,Head - Automation & Control,24,42.8,Active,Aligned with annual career development plan.
127,127,7,Engineering Manager,12,14.6,Active,Aligned with annual career development plan.
128,128,42,Head - Quality Assurance & Metallurgy,24,28.0,Active,Aligned with annual career development plan.
129,129,55,Manager - Information Technology,12,28.8,Active,Aligned with annual career development plan.
130,130,26,Specialist - Blast Furnace Operations,12,61.4,Active,Aligned with annual career development plan.
131,131,20,Manager - Automation & Control,18,50.5,Active,Aligned with annual career development plan.
132,132,14,Head - Electrical & Electronics,12,66.4,Active,Aligned with annual career development plan.
133,133,55,Manager - Information Technology,24,51.4,Active,Aligned with annual career development plan.
134,134,7,Engineering Manager,24,45.9,Active,Aligned with annual career development plan.
135,135,13,Manager - Electrical & Electronics,18,8.7,Active,Aligned with annual career development plan.
136,136,63,Head - AI & Digital Initiatives,24,7.2,Active,Aligned with annual career development plan.
137,137,70,Head - Human Resources & L&D,18,43.0,Active,Aligned with annual career development plan.
138,138,47,Specialist - Supply Chain & SCM,12,53.2,Active,Aligned with annual career development plan.
139,139,6,EAF Mechanical Specialist,12,4.6,Active,Aligned with annual career development plan.
140,140,62,Manager - AI & Digital Initiatives,12,29.1,Active,Aligned with annual career development plan.
141,141,21,Head - Automation & Control,18,39.0,Active,Aligned with annual career development plan.
142,142,55,Manager - Information Technology,12,15.7,Active,Aligned with annual career development plan.
143,143,21,Head - Automation & Control,24,2.2,Active,Aligned with annual career development plan.
144,144,17,Engineer - Automation & Control,18,30.4,Active,Aligned with annual career development plan.
145,145,65,Senior Technician - Human Resources & L&D,24,17.9,Active,Aligned with annual career development plan.
146,146,48,Manager - Supply Chain & SCM,12,11.7,Active,Aligned with annual career development plan.
147,147,46,Senior Engineer - Supply Chain & SCM,18,4.3,Active,Aligned with annual career development plan.
148,148,62,Manager - AI & Digital Initiatives,24,25.0,Active,Aligned with annual career development plan.
149,149,71,HR Business Partner,12,65.0,Active,Aligned with annual career development plan.
150,150,5,Mechanical Specialist,12,50.9,Active,Aligned with annual career development plan.
151,151,27,Manager - Blast Furnace Operations,12,51.2,Active,Aligned with annual career development plan.
152,152,34,Manager - Rolling Mill Operations,24,24.7,Active,Aligned with annual career development plan.
153,153,3,Mechanical Engineer,18,1.6,Active,Aligned with annual career development plan.
154,154,28,Head - Blast Furnace Operations,12,50.5,Active,Aligned with annual career development plan.
155,155,70,Head - Human Resources & L&D,12,34.3,Active,Aligned with annual career development plan.
156,156,11,Senior Engineer - Electrical & Electronics,24,19.4,Active,Aligned with annual career development plan.
157,157,38,Engineer - Quality Assurance & Metallurgy,24,66.3,Active,Aligned with annual career development plan.
158,158,20,Manager - Automation & Control,24,36.3,Active,Aligned with annual career development plan.
159,159,25,Senior Engineer - Blast Furnace Operations,18,60.1,Active,Aligned with annual career development plan.
160,160,56,Head - Information Technology,24,52.3,Active,Aligned with annual career development plan.
161,161,42,Head - Quality Assurance & Metallurgy,24,10.1,Active,Aligned with annual career development plan.
162,162,25,Senior Engineer - Blast Furnace Operations,12,24.2,Active,Aligned with annual career development plan.
163,163,40,Specialist - Quality Assurance & Metallurgy,12,41.1,Active,Aligned with annual career development plan.
164,164,14,Head - Electrical & Electronics,12,47.5,Active,Aligned with annual career development plan.
165,165,61,Specialist - AI & Digital Initiatives,18,10.7,Active,Aligned with annual career development plan.
166,166,63,Head - AI & Digital Initiatives,24,3.5,Active,Aligned with annual career development plan.
167,167,38,Engineer - Quality Assurance & Metallurgy,24,24.7,Active,Aligned with annual career development plan.
168,168,2,Senior Technician - Mechanical,18,26.1,Active,Aligned with annual career development plan.
169,169,21,Head - Automation & Control,12,33.7,Active,Aligned with annual career development plan.
170,170,5,Mechanical Specialist,24,25.1,Active,Aligned with annual career development plan.
171,171,26,Specialist - Blast Furnace Operations,24,61.9,Active,Aligned with annual career development plan.
172,172,26,Specialist - Blast Furnace Operations,24,15.9,Active,Aligned with annual career development plan.
173,173,55,Manager - Information Technology,18,29.0,Active,Aligned with annual career development plan.
174,174,42,Head - Quality Assurance & Metallurgy,18,4.4,Active,Aligned with annual career development plan.
175,175,56,Head - Information Technology,18,12.7,Active,Aligned with annual career development plan.
176,176,13,Manager - Electrical & Electronics,18,58.7,Active,Aligned with annual career development plan.
177,177,27,Manager - Blast Furnace Operations,18,31.0,Active,Aligned with annual career development plan.
178,178,61,Specialist - AI & Digital Initiatives,18,63.0,Active,Aligned with annual career development plan.
179,179,14,Head - Electrical & Electronics,24,11.7,Active,Aligned with annual career development plan.
180,180,24,Engineer - Blast Furnace Operations,18,57.8,Active,Aligned with annual career development plan.
181,181,56,Head - Information Technology,18,51.8,Active,Aligned with annual career development plan.
182,182,13,Manager - Electrical & Electronics,18,34.3,Active,Aligned with annual career development plan.
183,183,20,Manager - Automation & Control,12,49.6,Active,Aligned with annual career development plan.
184,184,4,Senior Mechanical Engineer,12,3.5,Active,Aligned with annual career development plan.
185,185,19,Specialist - Automation & Control,18,67.8,Active,Aligned with annual career development plan.
186,186,14,Head - Electrical & Electronics,24,42.0,Active,Aligned with annual career development plan.
187,187,49,Head - Supply Chain & SCM,24,39.1,Active,Aligned with annual career development plan.
188,188,33,Specialist - Rolling Mill Operations,24,35.2,Active,Aligned with annual career development plan.
189,189,35,Head - Rolling Mill Operations,18,18.0,Active,Aligned with annual career development plan.
190,190,14,Head - Electrical & Electronics,18,59.3,Active,Aligned with annual career development plan.
191,191,63,Head - AI & Digital Initiatives,12,63.6,Active,Aligned with annual career development plan.
192,192,3,Mechanical Engineer,12,60.7,Active,Aligned with annual career development plan.
193,193,61,Specialist - AI & Digital Initiatives,24,20.5,Active,Aligned with annual career development plan.
194,194,42,Head - Quality Assurance & Metallurgy,24,3.8,Active,Aligned with annual career development plan.
195,195,34,Manager - Rolling Mill Operations,12,8.8,Active,Aligned with annual career development plan.
196,196,49,Head - Supply Chain & SCM,24,19.4,Active,Aligned with annual career development plan.
197,197,71,HR Business Partner,12,46.1,Active,Aligned with annual career development plan.
198,198,26,Specialist - Blast Furnace Operations,12,45.3,Active,Aligned with annual career development plan.
199,199,43,Technician - Supply Chain & SCM,12,10.3,Active,Aligned with annual career development plan.
200,200,11,Senior Engineer - Electrical & Electronics,12,5.0,Active,Aligned with annual career development plan.
201,201,41,Manager - Quality Assurance & Metallurgy,18,53.1,Active,Aligned with annual career development plan.
202,202,33,Specialist - Rolling Mill Operations,12,18.8,Active,Aligned with annual career development plan.
203,203,39,Senior Engineer - Quality Assurance & Metallurgy,24,34.3,Active,Aligned with annual career development plan.
204,204,14,Head - Electrical & Electronics,24,65.9,Active,Aligned with annual career development plan.
205,205,56,Head - Information Technology,24,24.9,Active,Aligned with annual career development plan.
206,206,61,Specialist - AI & Digital Initiatives,12,62.4,Active,Aligned with annual career development plan.
207,207,55,Manager - Information Technology,18,0.5,Active,Aligned with annual career development plan.
208,208,60,Senior Engineer - AI & Digital Initiatives,18,17.4,Active,Aligned with annual career development plan.
209,209,69,Manager - Human Resources & L&D,18,4.2,Active,Aligned with annual career development plan.
210,210,33,Specialist - Rolling Mill Operations,24,47.1,Active,Aligned with annual career development plan.
211,211,45,Engineer - Supply Chain & SCM,24,23.2,Active,Aligned with annual career development plan.
212,212,24,Engineer - Blast Furnace Operations,18,58.7,Active,Aligned with annual career development plan.
213,213,7,Engineering Manager,12,0.6,Active,Aligned with annual career development plan.
214,214,63,Head - AI & Digital Initiatives,18,12.1,Active,Aligned with annual career development plan.
215,215,56,Head - Information Technology,18,9.8,Active,Aligned with annual career development plan.
216,216,18,Senior Engineer - Automation & Control,12,62.7,Active,Aligned with annual career development plan.
217,217,28,Head - Blast Furnace Operations,24,27.0,Active,Aligned with annual career development plan.
218,218,14,Head - Electrical & Electronics,12,33.4,Active,Aligned with annual career development plan.
219,219,63,Head - AI & Digital Initiatives,24,51.2,Active,Aligned with annual career development plan.
220,220,44,Senior Technician - Supply Chain & SCM,24,20.9,Active,Aligned with annual career development plan.
221,221,10,Engineer - Electrical & Electronics,24,3.6,Active,Aligned with annual career development plan.
222,222,20,Manager - Automation & Control,24,48.5,Active,Aligned with annual career development plan.
223,223,49,Head - Supply Chain & SCM,12,6.2,Active,Aligned with annual career development plan.
224,224,35,Head - Rolling Mill Operations,12,35.8,Active,Aligned with annual career development plan.
225,225,21,Head - Automation & Control,12,10.2,Active,Aligned with annual career development plan.
226,226,42,Head - Quality Assurance & Metallurgy,18,14.3,Active,Aligned with annual career development plan.
227,227,6,EAF Mechanical Specialist,24,34.9,Active,Aligned with annual career development plan.
228,228,60,Senior Engineer - AI & Digital Initiatives,18,68.2,Active,Aligned with annual career development plan.
229,229,13,Manager - Electrical & Electronics,12,33.3,Active,Aligned with annual career development plan.
230,230,63,Head - AI & Digital Initiatives,12,4.0,Active,Aligned with annual career development plan.
231,231,70,Head - Human Resources & L&D,24,42.0,Active,Aligned with annual career development plan.
232,232,63,Head - AI & Digital Initiatives,18,50.4,Active,Aligned with annual career development plan.
233,233,14,Head - Electrical & Electronics,18,4.3,Active,Aligned with annual career development plan.
234,234,46,Senior Engineer - Supply Chain & SCM,24,25.2,Active,Aligned with annual career development plan.
235,235,18,Senior Engineer - Automation & Control,24,60.6,Active,Aligned with annual career development plan.
236,236,70,Head - Human Resources & L&D,24,51.3,Active,Aligned with annual career development plan.
237,237,52,Engineer - Information Technology,18,27.9,Active,Aligned with annual career development plan.
238,238,12,Specialist - Electrical & Electronics,18,66.6,Active,Aligned with annual career development plan.
239,239,13,Manager - Electrical & Electronics,12,69.8,Active,Aligned with annual career development plan.
240,240,27,Manager - Blast Furnace Operations,24,40.8,Active,Aligned with annual career development plan.
241,241,17,Engineer - Automation & Control,24,57.8,Active,Aligned with annual career development plan.
242,242,4,Senior Mechanical Engineer,18,23.2,Active,Aligned with annual career development plan.
243,243,42,Head - Quality Assurance & Metallurgy,24,12.9,Active,Aligned with annual career development plan.
244,244,41,Manager - Quality Assurance & Metallurgy,12,32.4,Active,Aligned with annual career development plan.
245,245,5,Mechanical Specialist,24,31.6,Active,Aligned with annual career development plan.
246,246,13,Manager - Electrical & Electronics,24,40.3,Active,Aligned with annual career development plan.
247,247,67,Senior Engineer - Human Resources & L&D,12,56.3,Active,Aligned with annual career development plan.
248,248,63,Head - AI & Digital Initiatives,12,53.2,Active,Aligned with annual career development plan.
249,249,56,Head - Information Technology,24,64.5,Active,Aligned with annual career development plan.
250,250,2,Senior Technician - Mechanical,18,27.1,Active,Aligned with annual career development plan.
251,251,32,Senior Engineer - Rolling Mill Operations,24,17.0,Active,Aligned with annual career development plan.
252,252,44,Senior Technician - Supply Chain & SCM,24,54.3,Active,Aligned with annual career development plan.
253,253,54,Specialist - Information Technology,24,50.0,Active,Aligned with annual career development plan.
254,254,56,Head - Information Technology,24,0.7,Active,Aligned with annual career development plan.
255,255,19,Specialist - Automation & Control,12,14.8,Active,Aligned with annual career development plan.
256,256,12,Specialist - Electrical & Electronics,18,10.4,Active,Aligned with annual career development plan.
257,257,26,Specialist - Blast Furnace Operations,18,3.1,Active,Aligned with annual career development plan.
258,258,7,Engineering Manager,18,21.5,Active,Aligned with annual career development plan.
259,259,62,Manager - AI & Digital Initiatives,12,62.8,Active,Aligned with annual career development plan.
260,260,11,Senior Engineer - Electrical & Electronics,12,46.3,Active,Aligned with annual career development plan.
261,261,47,Specialist - Supply Chain & SCM,12,5.9,Active,Aligned with annual career development plan.
262,262,52,Engineer - Information Technology,18,15.3,Active,Aligned with annual career development plan.
263,263,39,Senior Engineer - Quality Assurance & Metallurgy,18,38.6,Active,Aligned with annual career development plan.
264,264,26,Specialist - Blast Furnace Operations,12,34.2,Active,Aligned with annual career development plan.
265,265,61,Specialist - AI & Digital Initiatives,18,21.0,Active,Aligned with annual career development plan.
266,266,70,Head - Human Resources & L&D,12,40.3,Active,Aligned with annual career development plan.
267,267,17,Engineer - Automation & Control,24,37.2,Active,Aligned with annual career development plan.
268,268,41,Manager - Quality Assurance & Metallurgy,24,43.0,Active,Aligned with annual career development plan.
269,269,34,Manager - Rolling Mill Operations,12,57.0,Active,Aligned with annual career development plan.
270,270,14,Head - Electrical & Electronics,24,59.7,Active,Aligned with annual career development plan.
271,271,26,Specialist - Blast Furnace Operations,18,58.1,Active,Aligned with annual career development plan.
272,272,9,Senior Technician - Electrical & Electronics,12,47.6,Active,Aligned with annual career development plan.
273,273,61,Specialist - AI & Digital Initiatives,12,60.9,Active,Aligned with annual career development plan.
274,274,30,Senior Technician - Rolling Mill Operations,18,16.0,Active,Aligned with annual career development plan.
275,275,8,Technician - Electrical & Electronics,18,15.5,Active,Aligned with annual career development plan.
276,276,42,Head - Quality Assurance & Metallurgy,24,68.0,Active,Aligned with annual career development plan.
277,277,3,Mechanical Engineer,18,18.5,Active,Aligned with annual career development plan.
278,278,42,Head - Quality Assurance & Metallurgy,24,32.9,Active,Aligned with annual career development plan.
279,279,39,Senior Engineer - Quality Assurance & Metallurgy,24,56.5,Active,Aligned with annual career development plan.
280,280,59,Engineer - AI & Digital Initiatives,12,10.4,Active,Aligned with annual career development plan.
281,281,14,Head - Electrical & Electronics,24,36.3,Active,Aligned with annual career development plan.
282,282,67,Senior Engineer - Human Resources & L&D,24,69.4,Active,Aligned with annual career development plan.
283,283,41,Manager - Quality Assurance & Metallurgy,12,18.9,Active,Aligned with annual career development plan.
284,284,13,Manager - Electrical & Electronics,12,2.1,Active,Aligned with annual career development plan.
285,285,67,Senior Engineer - Human Resources & L&D,12,16.2,Active,Aligned with annual career development plan.
286,286,61,Specialist - AI & Digital Initiatives,12,18.3,Active,Aligned with annual career development plan.
287,287,35,Head - Rolling Mill Operations,12,52.0,Active,Aligned with annual career development plan.
288,288,49,Head - Supply Chain & SCM,18,11.7,Active,Aligned with annual career development plan.
289,289,59,Engineer - AI & Digital Initiatives,18,20.3,Active,Aligned with annual career development plan.
290,290,18,Senior Engineer - Automation & Control,18,55.1,Active,Aligned with annual career development plan.
291,291,28,Head - Blast Furnace Operations,18,0.3,Active,Aligned with annual career development plan.
292,292,56,Head - Information Technology,18,21.8,Active,Aligned with annual career development plan.
293,293,31,Engineer - Rolling Mill Operations,24,25.3,Active,Aligned with annual career development plan.
294,294,14,Head - Electrical & Electronics,24,59.2,Active,Aligned with annual career development plan.
295,295,35,Head - Rolling Mill Operations,24,62.1,Active,Aligned with annual career development plan.
296,296,41,Manager - Quality Assurance & Metallurgy,18,51.1,Active,Aligned with annual career development plan.
297,297,56,Head - Information Technology,12,47.3,Active,Aligned with annual career development plan.
298,298,49,Head - Supply Chain & SCM,12,26.1,Active,Aligned with annual career development plan.
299,299,20,Manager - Automation & Control,12,47.2,Active,Aligned with annual career development plan.
300,300,5,Mechanical Specialist,18,56.5,Active,Aligned with annual career development plan.
301,301,42,Head - Quality Assurance & Metallurgy,24,33.0,Active,Aligned with annual career development plan.
302,302,62,Manager - AI & Digital Initiatives,18,64.6,Active,Aligned with annual career development plan.
303,303,42,Head - Quality Assurance & Metallurgy,24,31.8,Active,Aligned with annual career development plan.
304,304,62,Manager - AI & Digital Initiatives,18,0.3,Active,Aligned with annual career development plan.
305,305,35,Head - Rolling Mill Operations,18,53.4,Active,Aligned with annual career development plan.
306,306,69,Manager - Human Resources & L&D,12,38.9,Active,Aligned with annual career development plan.
307,307,4,Senior Mechanical Engineer,24,42.5,Active,Aligned with annual career development plan.
308,308,17,Engineer - Automation & Control,24,66.9,Active,Aligned with annual career development plan.
309,309,54,Specialist - Information Technology,24,63.8,Active,Aligned with annual career development plan.
310,310,70,Head - Human Resources & L&D,12,36.9,Active,Aligned with annual career development plan.
311,311,48,Manager - Supply Chain & SCM,18,37.3,Active,Aligned with annual career development plan.
312,312,26,Specialist - Blast Furnace Operations,18,21.9,Active,Aligned with annual career development plan.
313,313,23,Senior Technician - Blast Furnace Operations,12,67.6,Active,Aligned with annual career development plan.
314,314,7,Engineering Manager,24,16.1,Active,Aligned with annual career development plan.
315,315,47,Specialist - Supply Chain & SCM,24,38.1,Active,Aligned with annual career development plan.
316,316,48,Manager - Supply Chain & SCM,12,12.5,Active,Aligned with annual career development plan.
317,317,6,EAF Mechanical Specialist,24,44.6,Active,Aligned with annual career development plan.
318,318,13,Manager - Electrical & Electronics,18,65.2,Active,Aligned with annual career development plan.
319,319,42,Head - Quality Assurance & Metallurgy,18,38.6,Active,Aligned with annual career development plan.
320,320,14,Head - Electrical & Electronics,12,52.9,Active,Aligned with annual career development plan.
321,321,27,Manager - Blast Furnace Operations,24,65.0,Active,Aligned with annual career development plan.
322,322,47,Specialist - Supply Chain & SCM,24,62.9,Active,Aligned with annual career development plan.
323,323,31,Engineer - Rolling Mill Operations,12,40.5,Active,Aligned with annual career development plan.
324,324,4,Senior Mechanical Engineer,18,32.3,Active,Aligned with annual career development plan.
325,325,70,Head - Human Resources & L&D,12,15.0,Active,Aligned with annual career development plan.
326,326,63,Head - AI & Digital Initiatives,24,38.2,Active,Aligned with annual career development plan.
327,327,71,HR Business Partner,18,57.3,Active,Aligned with annual career development plan.
328,328,53,Senior Engineer - Information Technology,24,65.2,Active,Aligned with annual career development plan.
329,329,29,Technician - Rolling Mill Operations,12,13.5,Active,Aligned with annual career development plan.
