id,code,name,description,category,subcategory,duration_hours,difficulty,mode,provider,skills_covered,prerequisites,target_grades,is_mandatory,pass_score,is_active
39,CRS1039,General Course on Digital - Advanced Technologies 39,Details for General Course on Digital - Advanced Technologies 39.,Digital,Advanced Technologies,16,Advanced,Blended,Internal Training Academy,"Python,Digital skill - Software 193",,"1,2,3,4,5,6,7,8",False,70,True
40,CRS1040,General Course on Technical - Ironmaking 40,Details for General Course on Technical - Ironmaking 40.,Technical,Ironmaking,8,Advanced,Online,Internal Training Academy,"Technical skill - Metallurgy 81,Technical skill - Ironmaking 84",,"1,2,3,4,5,6,7,8",False,70,True
41,CRS1041,General Course on Digital - Data Science 41,Details for General Course on Digital - Data Science 41.,Digital,Data Science,40,Intermediate,Classroom,Internal Training Academy,"Digital skill - Software 131,Digital skill - Data Science 31",,"1,2,3,4,5,6,7,8",False,70,True
42,CRS1042,General Course on Safety - Industrial Safety 42,Details for General Course on Safety - Industrial Safety 42.,Safety,Industrial Safety,24,Intermediate,Classroom,Internal Training Academy,"Safety skill - Hazard Management 56,Safety skill - Compliance 148",,"1,2,3,4,5,6,7,8",False,70,True
43,CRS1043,General Course on Leadership - Strategic Planning 43,Details for General Course on Leadership - Strategic Planning 43.,Leadership,Strategic Planning,4,Intermediate,Online,Internal Training Academy,"Leadership skill - Strategic Planning 32,Leadership skill - Project Management 68",,"1,2,3,4,5,6,7,8",False,70,True
44,CRS1044,General Course on Technical - Ironmaking 44,Details for General Course on Technical - Ironmaking 44.,Technical,Ironmaking,4,Beginner,Online,Internal Training Academy,"Condition Monitoring,Technical skill - Ironmaking 84",,"1,2,3,4,5,6,7,8",False,70,True
45,CRS1045,General Course on Digital - IIoT 45,Details for General Course on Digital - IIoT 45.,Digital,IIoT,8,Advanced,Online,Internal Training Academy,"Digital skill - Software 193,Digital skill - IIoT 72",,"1,2,3,4,5,6,7,8",False,70,True
46,CRS1046,General Course on Digital - Software 46,Details for General Course on Digital - Software 46.,Digital,Software,40,Beginner,Blended,Internal Training Academy,"Digital skill - Advanced Technologies 28,Digital skill - Data Science 77",,"1,2,3,4,5,6,7,8",False,70,True
47,CRS1047,General Course on Behavioral - Communication 47,Details for General Course on Behavioral - Communication 47.,Behavioral,Communication,4,Advanced,Classroom,Internal Training Academy,"Behavioral skill - Problem Solving 179,Behavioral skill - Communication 127",,"1,2,3,4,5,6,7,8",False,70,True
48,CRS1048,General Course on Behavioral - Problem Solving 48,Details for General Course on Behavioral - Problem Solving 48.,Behavioral,Problem Solving,8,Intermediate,Blended,Internal Training Academy,"Behavioral skill - Communication 159,Behavioral skill - Collaboration 37",,"1,2,3,4,5,6,7,8",False,70,True
49,CRS1049,General Course on Digital - IIoT 49,Details for General Course on Digital - IIoT 49.,Digital,IIoT,40,Advanced,Blended,Internal Training Academy,"Digital skill - Software 193,Digital skill - IIoT 118",,"1,2,3,4,5,6,7,8",False,70,True
50,CRS1050,General Course on Digital - IIoT 50,Details for General Course on Digital - IIoT 50.,Digital,IIoT,16,Intermediate,Online,Internal Training Academy,"Digital skill - IIoT 63,Python",,"1,2,3,4,5,6,7,8",False,70,True
51,CRS1051,General Course on Leadership - Team Operations 51,Details for General Course on Leadership - Team Operations 51.,Leadership,Team Operations,8,Intermediate,Online,Internal Training Academy,"Leadership skill - Team Operations 137,Leadership skill - Strategic Planning 161",,"1,2,3,4,5,6,7,8",False,70,True
52,CRS1052,General Course on Leadership - Project Management 52,Details for General Course on Leadership - Project Management 52.,Leadership,Project Management,4,Intermediate,Classroom,Internal Training Academy,"Leadership skill - Project Management 60,Leadership skill - Team Operations 82",,"1,2,3,4,5,6,7,8",False,70,True
53,CRS1053,General Course on Digital - Software 53,Details for General Course on Digital - Software 53.,Digital,Software,40,Intermediate,Blended,Internal Training Academy,"Digital skill - IIoT 119,Digital skill - Data Science 102",,"1,2,3,4,5,6,7,8",False,70,True
54,CRS1054,General Course on Safety - Compliance 54,Details for General Course on Safety - Compliance 54.,Safety,Compliance,8,Beginner,Online,Internal Training Academy,"Safety skill - Industrial Safety 130,Safety skill - Compliance 39",,"1,2,3,4,5,6,7,8",False,70,True
55,CRS1055,General Course on Leadership - Project Management 55,Details for General Course on Leadership - Project Management 55.,Leadership,Project Management,40,Beginner,Blended,Internal Training Academy,"Leadership skill - Project Management 68,Leadership skill - Team Operations 190",,"1,2,3,4,5,6,7,8",False,70,True
56,CRS1056,General Course on Technical - Ironmaking 56,Details for General Course on Technical - Ironmaking 56.,Technical,Ironmaking,40,Beginner,Blended,Internal Training Academy,"Technical skill - Design 167,Technical skill - Instrumentation 109",,"1,2,3,4,5,6,7,8",False,70,True
57,CRS1057,General Course on Behavioral - Collaboration 57,Details for General Course on Behavioral - Collaboration 57.,Behavioral,Collaboration,16,Beginner,Classroom,Internal Training Academy,"Behavioral skill - Problem Solving 78,Behavioral skill - Problem Solving 47",,"1,2,3,4,5,6,7,8",False,70,True
58,CRS1058,General Course on Technical - Design 58,Details for General Course on Technical - Design 58.,Technical,Design,24,Beginner,Classroom,Internal Training Academy,"Technical skill - Instrumentation 21,Technical skill - Maintenance 162",,"1,2,3,4,5,6,7,8",False,70,True
59,CRS1059,General Course on Technical - Maintenance 59,Details for General Course on Technical - Maintenance 59.,Technical,Maintenance,24,Intermediate,Online,Internal Training Academy,"Technical skill - Instrumentation 49,Maintenance",,"1,2,3,4,5,6,7,8",False,70,True
60,CRS1060,General Course on Technical - Metallurgy 60,Details for General Course on Technical - Metallurgy 60.,Technical,Metallurgy,40,Advanced,Blended,Internal Training Academy,"Technical skill - Instrumentation 97,Technical skill - Maintenance 44",,"1,2,3,4,5,6,7,8",False,70,True
61,CRS1061,General Course on Technical - Ironmaking 61,Details for General Course on Technical - Ironmaking 61.,Technical,Ironmaking,4,Advanced,Blended,Internal Training Academy,"Technical skill - Instrumentation 106,Technical skill - Automation 128",,"1,2,3,4,5,6,7,8",False,70,True
62,CRS1062,General Course on Digital - Advanced Technologies 62,Details for General Course on Digital - Advanced Technologies 62.,Digital,Advanced Technologies,40,Intermediate,Online,Internal Training Academy,"Digital skill - Software 120,Digital skill - Advanced Technologies 150",,"1,2,3,4,5,6,7,8",False,70,True
63,CRS1063,General Course on Safety - Compliance 63,Details for General Course on Safety - Compliance 63.,Safety,Compliance,16,Beginner,Blended,Internal Training Academy,"Safety skill - Industrial Safety 124,Safety skill - Industrial Safety 57",,"1,2,3,4,5,6,7,8",False,70,True
64,CRS1064,General Course on Leadership - Team Operations 64,Details for General Course on Leadership - Team Operations 64.,Leadership,Team Operations,8,Advanced,Classroom,Internal Training Academy,"Leadership skill - Strategic Planning 42,Leadership skill - Strategic Planning 64",,"1,2,3,4,5,6,7,8",False,70,True
65,CRS1065,General Course on Behavioral - Collaboration 65,Details for General Course on Behavioral - Collaboration 65.,Behavioral,Collaboration,40,Beginner,Online,Internal Training Academy,"Behavioral skill - Communication 127,Behavioral skill - Collaboration 103",,"1,2,3,4,5,6,7,8",False,70,True
66,CRS1066,General Course on Safety - Compliance 66,Details for General Course on Safety - Compliance 66.,Safety,Compliance,40,Beginner,Classroom,Internal Training Academy,"Safety skill - Industrial Safety 90,Safety skill - Industrial Safety 172",,"1,2,3,4,5,6,7,8",False,70,True
67,CRS1067,General Course on Safety - Hazard Management 67,Details for General Course on Safety - Hazard Management 67.,Safety,Hazard Management,24,Intermediate,Online,Internal Training Academy,"Safety skill - Compliance 80,Safety skill - Industrial Safety 114",,"1,2,3,4,5,6,7,8",False,70,True
68,CRS1068,General Course on Safety - Industrial Safety 68,Details for General Course on Safety - Industrial Safety 68.,Safety,Industrial Safety,40,Beginner,Blended,Internal Training Academy,"Safety skill - Industrial Safety 70,Safety skill - Compliance 177",,"1,2,3,4,5,6,7,8",False,70,True
69,CRS1069,General Course on Digital - IIoT 69,Details for General Course on Digital - IIoT 69.,Digital,IIoT,8,Beginner,Classroom,Internal Training Academy,"Digital skill - Data Science 122,Digital skill - IIoT 72",,"1,2,3,4,5,6,7,8",False,70,True
70,CRS1070,General Course on Leadership - Project Management 70,Details for General Course on Leadership - Project Management 70.,Leadership,Project Management,16,Advanced,Blended,Internal Training Academy,"Leadership skill - Strategic Planning 91,Leadership skill - Team Operations 188",,"1,2,3,4,5,6,7,8",False,70,True
71,CRS1071,General Course on Technical - Automation 71,Details for General Course on Technical - Automation 71.,Technical,Automation,16,Beginner,Blended,Internal Training Academy,"Technical skill - Automation 73,Technical skill - Metallurgy 117",,"1,2,3,4,5,6,7,8",False,70,True
72,CRS1072,General Course on Leadership - Strategic Planning 72,Details for General Course on Leadership - Strategic Planning 72.,Leadership,Strategic Planning,4,Intermediate,Classroom,Internal Training Academy,"Leadership skill - Team Operations 30,Leadership skill - Team Operations 26",,"1,2,3,4,5,6,7,8",False,70,True
73,CRS1073,General Course on Behavioral - Communication 73,Details for General Course on Behavioral - Communication 73.,Behavioral,Communication,24,Intermediate,Classroom,Internal Training Academy,"Behavioral skill - Problem Solving 86,Behavioral skill - Problem Solving 41",,"1,2,3,4,5,6,7,8",False,70,True
74,CRS1074,General Course on Safety - Compliance 74,Details for General Course on Safety - Compliance 74.,Safety,Compliance,40,Beginner,Online,Internal Training Academy,"Safety skill - Compliance 163,Safety skill - Compliance 143",,"1,2,3,4,5,6,7,8",False,70,True
75,CRS1075,General Course on Behavioral - Problem Solving 75,Details for General Course on Behavioral - Problem Solving 75.,Behavioral,Problem Solving,24,Intermediate,Blended,Internal Training Academy,"Behavioral skill - Problem Solving 179,Behavioral skill - Collaboration 43",,"1,2,3,4,5,6,7,8",False,70,True
76,CRS1076,General Course on Safety - Industrial Safety 76,Details for General Course on Safety - Industrial Safety 76.,Safety,Industrial Safety,16,Advanced,Classroom,Internal Training Academy,"Safety skill - Compliance 93,Safety skill - Hazard Management 164",,"1,2,3,4,5,6,7,8",False,70,True
77,CRS1077,General Course on Technical - Design 77,Details for General Course on Technical - Design 77.,Technical,Design,24,Intermediate,Blended,Internal Training Academy,"Technical skill - Metallurgy 197,Technical skill - Metallurgy 81",,"1,2,3,4,5,6,7,8",False,70,True
78,CRS1078,General Course on Leadership - Strategic Planning 78,Details for General Course on Leadership - Strategic Planning 78.,Leadership,Strategic Planning,40,Advanced,Online,Internal Training Academy,"Leadership skill - Strategic Planning 147,Leadership skill - Project Management 191",,"1,2,3,4,5,6,7,8",False,70,True
79,CRS1079,General Course on Digital - Advanced Technologies 79,Details for General Course on Digital - Advanced Technologies 79.,Digital,Advanced Technologies,40,Intermediate,Classroom,Internal Training Academy,"Digital skill - Software 131,Digital skill - Advanced Technologies 150",,"1,2,3,4,5,6,7,8",False,70,True
80,CRS1080,General Course on Leadership - Project Management 80,Details for General Course on Leadership - Project Management 80.,Leadership,Project Management,24,Intermediate,Classroom,Internal Training Academy,"Leadership skill - Team Operations 166,Leadership skill - Project Management 136",,"1,2,3,4,5,6,7,8",False,70,True
81,CRS1081,General Course on Behavioral - Problem Solving 81,Details for General Course on Behavioral - Problem Solving 81.,Behavioral,Problem Solving,8,Beginner,Classroom,Internal Training Academy,"Behavioral skill - Communication 173,Behavioral skill - Collaboration 155",,"1,2,3,4,5,6,7,8",False,70,True
82,CRS1082,General Course on Digital - Software 82,Details for General Course on Digital - Software 82.,Digital,Software,16,Intermediate,Classroom,Internal Training Academy,"Digital skill - Software 193,Digital skill - Data Science 102",,"1,2,3,4,5,6,7,8",False,70,True
83,CRS1083,General Course on Technical - Maintenance 83,Details for General Course on Technical - Maintenance 83.,Technical,Maintenance,8,Advanced,Blended,Internal Training Academy,"Root Cause Analysis,Technical skill - Automation 100",,"1,2,3,4,5,6,7,8",False,70,True
84,CRS1084,General Course on Safety - Industrial Safety 84,Details for General Course on Safety - Industrial Safety 84.,Safety,Industrial Safety,4,Advanced,Online,Internal Training Academy,"Safety skill - Compliance 111,Safety skill - Industrial Safety 57",,"1,2,3,4,5,6,7,8",False,70,True
85,CRS1085,General Course on Behavioral - Communication 85,Details for General Course on Behavioral - Communication 85.,Behavioral,Communication,40,Advanced,Classroom,Internal Training Academy,"Behavioral skill - Problem Solving 66,Behavioral skill - Problem Solving 78",,"1,2,3,4,5,6,7,8",False,70,True
86,CRS1086,General Course on Safety - Industrial Safety 86,Details for General Course on Safety - Industrial Safety 86.,Safety,Industrial Safety,8,Beginner,Online,Internal Training Academy,"LOTO,Safety skill - Compliance 175",,"1,2,3,4,5,6,7,8",False,70,True
87,CRS1087,General Course on Digital - Data Science 87,Details for General Course on Digital - Data Science 87.,Digital,Data Science,16,Intermediate,Blended,Internal Training Academy,"Digital skill - Advanced Technologies 133,Digital skill - Advanced Technologies 140",,"1,2,3,4,5,6,7,8",False,70,True
88,CRS1088,General Course on Technical - Ironmaking 88,Details for General Course on Technical - Ironmaking 88.,Technical,Ironmaking,16,Intermediate,Blended,Internal Training Academy,"Technical skill - Design 167,Technical skill - Automation 121",,"1,2,3,4,5,6,7,8",False,70,True
89,CRS1089,General Course on Behavioral - Collaboration 89,Details for General Course on Behavioral - Collaboration 89.,Behavioral,Collaboration,24,Intermediate,Classroom,Internal Training Academy,"Behavioral skill - Problem Solving 179,Behavioral skill - Problem Solving 41",,"1,2,3,4,5,6,7,8",False,70,True
90,CRS1090,General Course on Technical - Metallurgy 90,Details for General Course on Technical - Metallurgy 90.,Technical,Metallurgy,24,Advanced,Online,Internal Training Academy,"Technical skill - Design 154,Technical skill - Metallurgy 117",,"1,2,3,4,5,6,7,8",False,70,True
91,CRS1091,General Course on Leadership - Project Management 91,Details for General Course on Leadership - Project Management 91.,Leadership,Project Management,8,Beginner,Blended,Internal Training Academy,"Leadership skill - Strategic Planning 32,Leadership skill - Team Operations 190",,"1,2,3,4,5,6,7,8",False,70,True
92,CRS1092,General Course on Digital - Advanced Technologies 92,Details for General Course on Digital - Advanced Technologies 92.,Digital,Advanced Technologies,24,Advanced,Online,Internal Training Academy,"Digital skill - Data Science 31,Digital skill - Data Science 122",,"1,2,3,4,5,6,7,8",False,70,True
93,CRS1093,General Course on Safety - Hazard Management 93,Details for General Course on Safety - Hazard Management 93.,Safety,Hazard Management,16,Beginner,Classroom,Internal Training Academy,"Safety skill - Compliance 33,Safety skill - Compliance 148",,"1,2,3,4,5,6,7,8",False,70,True
94,CRS1094,General Course on Technical - Ironmaking 94,Details for General Course on Technical - Ironmaking 94.,Technical,Ironmaking,4,Intermediate,Online,Internal Training Academy,"Technical skill - Automation 123,Technical skill - Maintenance 44",,"1,2,3,4,5,6,7,8",False,70,True
95,CRS1095,General Course on Technical - Maintenance 95,Details for General Course on Technical - Maintenance 95.,Technical,Maintenance,8,Beginner,Online,Internal Training Academy,"Technical skill - Design 46,Technical skill - Maintenance 44",,"1,2,3,4,5,6,7,8",False,70,True
96,CRS1096,General Course on Behavioral - Collaboration 96,Details for General Course on Behavioral - Collaboration 96.,Behavioral,Collaboration,4,Intermediate,Online,Internal Training Academy,"Behavioral skill - Communication 159,Behavioral skill - Problem Solving 69",,"1,2,3,4,5,6,7,8",False,70,True
97,CRS1097,General Course on Leadership - Project Management 97,Details for General Course on Leadership - Project Management 97.,Leadership,Project Management,8,Intermediate,Blended,Internal Training Academy,"Leadership skill - Team Operations 82,Leadership skill - Team Operations 137",,"1,2,3,4,5,6,7,8",False,70,True
98,CRS1098,General Course on Leadership - Strategic Planning 98,Details for General Course on Leadership - Strategic Planning 98.,Leadership,Strategic Planning,16,Advanced,Blended,Internal Training Academy,"Leadership skill - Project Management 59,Leadership skill - Project Management 199",,"1,2,3,4,5,6,7,8",False,70,True
99,CRS1099,General Course on Safety - Compliance 99,Details for General Course on Safety - Compliance 99.,Safety,Compliance,40,Beginner,Online,Internal Training Academy,"Safety skill - Compliance 143,Safety skill - Hazard Management 116",,"1,2,3,4,5,6,7,8",False,70,True
100,CRS1100,General Course on Behavioral - Communication 100,Details for General Course on Behavioral - Communication 100.,Behavioral,Communication,8,Beginner,Blended,Internal Training Academy,"Behavioral skill - Problem Solving 78,Behavioral skill - Problem Solving 88",,"1,2,3,4,5,6,7,8",False,70,True
