id,title,department_id,grade,track,min_experience_years,description,preferred_certifications,is_active
31,Engineer - Rolling Mill Operations,5,4,Technical,4,Responsible for engineer tasks in Rolling Mill Operations.,Degree/Diploma in relevant field,True
32,Senior Engineer - Rolling Mill Operations,5,5,Technical,6,Responsible for senior engineer tasks in Rolling Mill Operations.,Degree/Diploma in relevant field,True
33,Specialist - Rolling Mill Operations,5,6,Technical,8,Responsible for specialist tasks in Rolling Mill Operations.,Degree/Diploma in relevant field,True
34,Manager - Rolling Mill Operations,5,7,Leadership,10,Responsible for manager tasks in Rolling Mill Operations.,Degree/Diploma in relevant field,True
35,Head - Rolling Mill Operations,5,8,Leadership,12,Responsible for head tasks in Rolling Mill Operations.,Degree/Diploma in relevant field,True
36,Technician - Quality Assurance & Metallurgy,6,2,Technical,0,Responsible for technician tasks in Quality Assurance & Metallurgy.,Degree/Diploma in relevant field,True
37,Senior Technician - Quality Assurance & Metallurgy,6,3,Technical,2,Responsible for senior technician tasks in Quality Assurance & Metallurgy.,Degree/Diploma in relevant field,True
38,Engineer - Quality Assurance & Metallurgy,6,4,Technical,4,Responsible for engineer tasks in Quality Assurance & Metallurgy.,Degree/Diploma in relevant field,True
39,Senior Engineer - Quality Assurance & Metallurgy,6,5,Technical,6,Responsible for senior engineer tasks in Quality Assurance & Metallurgy.,Degree/Diploma in relevant field,True
40,Specialist - Quality Assurance & Metallurgy,6,6,Technical,8,Responsible for specialist tasks in Quality Assurance & Metallurgy.,Degree/Diploma in relevant field,True
41,Manager - Quality Assurance & Metallurgy,6,7,Leadership,10,Responsible for manager tasks in Quality Assurance & Metallurgy.,Degree/Diploma in relevant field,True
42,Head - Quality Assurance & Metallurgy,6,8,Leadership,12,Responsible for head tasks in Quality Assurance & Metallurgy.,Degree/Diploma in relevant field,True
43,Technician - Supply Chain & SCM,7,2,Technical,0,Responsible for technician tasks in Supply Chain & SCM.,Degree/Diploma in relevant field,True
44,Senior Technician - Supply Chain & SCM,7,3,Technical,2,Responsible for senior technician tasks in Supply Chain & SCM.,Degree/Diploma in relevant field,True
45,Engineer - Supply Chain & SCM,7,4,Technical,4,Responsible for engineer tasks in Supply Chain & SCM.,Degree/Diploma in relevant field,True
46,Senior Engineer - Supply Chain & SCM,7,5,Technical,6,Responsible for senior engineer tasks in Supply Chain & SCM.,Degree/Diploma in relevant field,True
47,Specialist - Supply Chain & SCM,7,6,Technical,8,Responsible for specialist tasks in Supply Chain & SCM.,Degree/Diploma in relevant field,True
48,Manager - Supply Chain & SCM,7,7,Leadership,10,Responsible for manager tasks in Supply Chain & SCM.,Degree/Diploma in relevant field,True
49,Head - Supply Chain & SCM,7,8,Leadership,12,Responsible for head tasks in Supply Chain & SCM.,Degree/Diploma in relevant field,True
50,Technician - Information Technology,8,2,Technical,0,Responsible for technician tasks in Information Technology.,Degree/Diploma in relevant field,True
51,Senior Technician - Information Technology,8,3,Technical,2,Responsible for senior technician tasks in Information Technology.,Degree/Diploma in relevant field,True
52,Engineer - Information Technology,8,4,Technical,4,Responsible for engineer tasks in Information Technology.,Degree/Diploma in relevant field,True
53,Senior Engineer - Information Technology,8,5,Technical,6,Responsible for senior engineer tasks in Information Technology.,Degree/Diploma in relevant field,True
54,Specialist - Information Technology,8,6,Technical,8,Responsible for specialist tasks in Information Technology.,Degree/Diploma in relevant field,True
55,Manager - Information Technology,8,7,Leadership,10,Responsible for manager tasks in Information Technology.,Degree/Diploma in relevant field,True
56,Head - Information Technology,8,8,Leadership,12,Responsible for head tasks in Information Technology.,Degree/Diploma in relevant field,True
57,Technician - AI & Digital Initiatives,9,2,Technical,0,Responsible for technician tasks in AI & Digital Initiatives.,Degree/Diploma in relevant field,True
58,Senior Technician - AI & Digital Initiatives,9,3,Technical,2,Responsible for senior technician tasks in AI & Digital Initiatives.,Degree/Diploma in relevant field,True
59,Engineer - AI & Digital Initiatives,9,4,Technical,4,Responsible for engineer tasks in AI & Digital Initiatives.,Degree/Diploma in relevant field,True
60,Senior Engineer - AI & Digital Initiatives,9,5,Technical,6,Responsible for senior engineer tasks in AI & Digital Initiatives.,Degree/Diploma in relevant field,True
61,Specialist - AI & Digital Initiatives,9,6,Technical,8,Responsible for specialist tasks in AI & Digital Initiatives.,Degree/Diploma in relevant field,True
62,Manager - AI & Digital Initiatives,9,7,Leadership,10,Responsible for manager tasks in AI & Digital Initiatives.,Degree/Diploma in relevant field,True
63,Head - AI & Digital Initiatives,9,8,Leadership,12,Responsible for head tasks in AI & Digital Initiatives.,Degree/Diploma in relevant field,True
64,Technician - Human Resources & L&D,10,2,Technical,0,Responsible for technician tasks in Human Resources & L&D.,Degree/Diploma in relevant field,True
65,Senior Technician - Human Resources & L&D,10,3,Technical,2,Responsible for senior technician tasks in Human Resources & L&D.,Degree/Diploma in relevant field,True
66,Engineer - Human Resources & L&D,10,4,Technical,4,Responsible for engineer tasks in Human Resources & L&D.,Degree/Diploma in relevant field,True
67,Senior Engineer - Human Resources & L&D,10,5,Technical,6,Responsible for senior engineer tasks in Human Resources & L&D.,Degree/Diploma in relevant field,True
68,Specialist - Human Resources & L&D,10,6,Technical,8,Responsible for specialist tasks in Human Resources & L&D.,Degree/Diploma in relevant field,True
69,Manager - Human Resources & L&D,10,7,Leadership,10,Responsible for manager tasks in Human Resources & L&D.,Degree/Diploma in relevant field,True
70,Head - Human Resources & L&D,10,8,Leadership,12,Responsible for head tasks in Human Resources & L&D.,Degree/Diploma in relevant field,True
71,HR Business Partner,10,7,Leadership,6,Aligns business objectives with employees and management in designated business units.,MBA HR,True
