id,employee_id,review_cycle,rating,score,strengths,improvement_areas,manager_comments,reviewer_name,review_date,is_final
26,10,FY2025-26,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Alok Banerjee,2026-02-01T05:04:38.188245,True
27,11,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aarav Chatterjee,2025-03-18T05:04:38.188257,True
28,11,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ganesh Prasad,2024-12-02T05:04:38.188266,True
29,12,FY2022-23,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ashok Banerjee,2026-01-22T05:04:38.188278,True
30,12,FY2023-24,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Sunita Ghosh,2025-07-08T05:04:38.188287,True
31,12,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Narendra Joshi,2025-11-30T05:04:38.188297,True
32,13,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Madhav Dubey,2026-01-17T05:04:38.188308,True
33,13,FY2021-22,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Chandan Nair,2025-05-26T05:04:38.188318,True
34,13,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Tanvi Dubey,2024-08-24T05:04:38.188327,True
35,14,FY2024-25,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rahul Choudhury,2024-12-05T05:04:38.188339,True
36,14,FY2021-22,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rahul Kumar,2026-06-20T05:04:38.188349,True
37,14,FY2022-23,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ashok Mukherjee,2025-12-31T05:04:38.188358,True
38,15,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Narendra Sinha,2025-12-03T05:04:38.188369,True
39,15,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Deepa Das,2026-05-02T05:04:38.188378,True
40,15,FY2025-26,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Deepa Prasad,2026-03-07T05:04:38.188387,True
41,16,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jyoti Reddy,2025-09-20T05:04:38.188399,True
42,16,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jay Mishra,2026-01-07T05:04:38.188408,True
43,16,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Alok Rao,2026-03-26T05:04:38.188418,True
44,17,FY2024-25,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rahul Prasad,2025-03-01T05:04:38.188436,True
45,17,FY2021-22,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Sita Nair,2026-02-11T05:04:38.188449,True
46,18,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aniket Bose,2025-05-11T05:04:38.188463,True
47,18,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Hemant Pandey,2026-02-23T05:04:38.188473,True
48,19,FY2025-26,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Kailash Sharma,2025-02-27T05:04:38.188486,True
49,19,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Gopal Das,2025-03-17T05:04:38.188496,True
50,20,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jay Patel,2025-08-17T05:04:38.188509,True
51,20,FY2025-26,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jagdish Verma,2026-06-10T05:04:38.188518,True
52,20,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pankaj Chatterjee,2025-12-14T05:04:38.188527,True
53,21,FY2022-23,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Dinesh Banerjee,2025-07-09T05:04:38.188538,True
54,21,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ramesh Nair,2025-07-28T05:04:38.188548,True
55,22,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Dev Rao,2025-06-09T05:04:38.188562,True
56,22,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ramesh Mitra,2026-01-18T05:04:38.188571,True
57,22,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Kiran Ghosh,2025-02-24T05:04:38.188581,True
58,23,FY2022-23,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jagdish Das,2025-10-30T05:04:38.188592,True
59,23,FY2024-25,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Nikhil Mitra,2025-02-12T05:04:38.188601,True
60,24,FY2022-23,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pranav Sinha,2025-11-21T05:04:38.188613,True
61,24,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jyoti Dubey,2025-01-12T05:04:38.188622,True
62,24,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ganesh Kumar,2026-04-19T05:04:38.188631,True
63,25,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rajesh Reddy,2026-03-08T05:04:38.188702,True
64,25,FY2023-24,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pankaj Gupta,2024-08-21T05:04:38.188713,True
65,25,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pankaj Banerjee,2025-12-07T05:04:38.188723,True
66,26,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Bhaskar Dutta,2025-07-06T05:04:38.188737,True
67,26,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Alok Banerjee,2025-01-24T05:04:38.188746,True
68,27,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Madhav Banerjee,2026-05-10T05:04:38.188757,True
69,27,FY2023-24,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Chandan Sharma,2025-05-10T05:04:38.188766,True
70,27,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Karan Pandey,2025-04-19T05:04:38.188776,True
71,28,FY2024-25,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Dinesh Prasad,2024-11-28T05:04:38.188788,True
72,28,FY2025-26,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Sita Patel,2025-10-31T05:04:38.188797,True
73,28,FY2021-22,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ashok Dubey,2025-10-25T05:04:38.188807,True
74,29,FY2024-25,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Vikram Yadav,2026-01-05T05:04:38.188818,True
75,29,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Suresh Mishra,2026-02-12T05:04:38.188829,True
76,30,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Dev Prasad,2025-04-05T05:04:38.188840,True
77,30,FY2021-22,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Hemant Ghosh,2025-12-13T05:04:38.188850,True
78,30,FY2025-26,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Kiran Dutta,2026-01-10T05:04:38.188860,True
79,31,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Neha Sharma,2024-11-23T05:04:38.188871,True
80,31,FY2023-24,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Abhishek Joshi,2025-04-23T05:04:38.188880,True
81,31,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jyoti Mitra,2025-05-17T05:04:38.188891,True
82,32,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Abhishek Sharma,2026-02-25T05:04:38.188902,True
83,32,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pankaj Reddy,2025-02-14T05:04:38.188912,True
84,32,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ramesh Dubey,2025-06-14T05:04:38.188921,True
85,33,FY2022-23,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Manish Sen,2026-02-14T05:04:38.188934,True
86,33,FY2025-26,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jagdish Sharma,2024-10-21T05:04:38.188943,True
87,34,FY2025-26,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Amit Rao,2025-02-24T05:04:38.188954,True
88,34,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pankaj Mishra,2025-01-04T05:04:38.188964,True
89,34,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pooja Patel,2025-04-26T05:04:38.188973,True
90,35,FY2021-22,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Manish Mishra,2025-04-27T05:04:38.188985,True
91,35,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Amit Dubey,2025-08-28T05:04:38.188995,True
92,35,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ritu Das,2026-01-03T05:04:38.189004,True
93,36,FY2022-23,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Deepa Nair,2025-12-29T05:04:38.189017,True
94,36,FY2021-22,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Yash Verma,2025-11-15T05:04:38.189027,True
95,37,FY2025-26,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Amit Dubey,2025-08-07T05:04:38.189041,True
96,37,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Amit Choudhury,2026-01-06T05:04:38.189050,True
97,37,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Karan Das,2025-12-25T05:04:38.189062,True
98,38,FY2024-25,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aarav Mitra,2025-11-23T05:04:38.189074,True
99,38,FY2021-22,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Manish Sharma,2025-07-27T05:04:38.189083,True
100,38,FY2022-23,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aniket Chatterjee,2026-03-25T05:04:38.189092,True
101,39,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Kailash Ghosh,2025-01-17T05:04:38.189103,True
102,39,FY2025-26,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pankaj Joshi,2024-08-30T05:04:38.189113,True
103,40,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Deepa Chatterjee,2025-05-31T05:04:38.189124,True
104,40,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Neha Joshi,2026-05-31T05:04:38.189133,True
105,40,FY2025-26,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aarav Ghosh,2024-12-27T05:04:38.189144,True
106,41,FY2023-24,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rohan Joshi,2025-11-07T05:04:38.189155,True
107,41,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Manish Chatterjee,2025-01-31T05:04:38.189164,True
108,41,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Hari Patel,2025-04-17T05:04:38.189174,True
109,42,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Madhav Mukherjee,2024-11-19T05:04:38.189184,True
110,42,FY2024-25,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Alok Das,2025-03-02T05:04:38.189193,True
111,43,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Neha Bose,2025-11-19T05:04:38.189204,True
112,43,FY2024-25,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Dinesh Rao,2024-12-07T05:04:38.189213,True
113,44,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Chandan Joshi,2025-07-21T05:04:38.189227,True
114,44,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Sita Sinha,2026-04-23T05:04:38.189236,True
115,44,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jagdish Bose,2025-03-12T05:04:38.189246,True
116,45,FY2023-24,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Rajesh Verma,2025-09-27T05:04:38.189257,True
117,45,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Gopal Mishra,2024-12-03T05:04:38.189267,True
118,45,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Manish Verma,2025-10-19T05:04:38.189276,True
119,46,FY2021-22,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Karan Nair,2024-12-18T05:04:38.189287,True
120,46,FY2023-24,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Pankaj Das,2025-03-12T05:04:38.189296,True
121,47,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jyoti Choudhury,2025-09-01T05:04:38.189306,True
122,47,FY2025-26,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Manish Bose,2026-05-26T05:04:38.189316,True
123,48,FY2021-22,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Dinesh Prasad,2025-02-19T05:04:38.189327,True
124,48,FY2023-24,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jagdish Tripathi,2026-04-27T05:04:38.189336,True
125,49,FY2022-23,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Deepa Patel,2026-02-27T05:04:38.189348,True
126,49,FY2025-26,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ramesh Dutta,2025-11-20T05:04:38.189357,True
127,50,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Dev Banerjee,2025-05-08T05:04:38.189369,True
128,50,FY2022-23,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aarav Mishra,2026-04-14T05:04:38.189378,True
129,50,FY2023-24,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Jay Ghosh,2025-12-15T05:04:38.189387,True
130,51,FY2021-22,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Aditya Banerjee,2025-07-09T05:04:38.189399,True
131,51,FY2022-23,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Madhav Chatterjee,2025-07-03T05:04:38.189408,True
132,51,FY2023-24,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Amit Roy,2025-02-20T05:04:38.189417,True
133,52,FY2024-25,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Tanvi Banerjee,2025-01-04T05:04:38.189428,True
134,52,FY2025-26,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Vikram Dutta,2025-02-11T05:04:38.189437,True
135,52,FY2023-24,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Vijay Joshi,2025-03-29T05:04:38.189448,True
136,53,FY2022-23,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Nikhil Rao,2026-01-16T05:04:38.189459,True
137,53,FY2024-25,Partially Meets Expectations,2.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Chandan Yadav,2025-04-06T05:04:38.189468,True
138,54,FY2024-25,Exceeds Expectations,4.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Ganesh Ghosh,2026-05-20T05:04:38.189479,True
139,54,FY2025-26,Meets Expectations,3.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Alok Mishra,2025-05-16T05:04:38.189488,True
140,54,FY2021-22,Exceptional,5.0,Demonstrates consistent execution and team work.,Needs to acquire digital skills and safety certifications.,Hardworking and reliable team member.,Narendra Mishra,2025-11-08T05:04:38.189506,True
