id,role_id,skill_id,required_level,is_mandatory,notes
306,62,194,Intermediate,True,
307,62,108,Intermediate,True,
308,62,193,Intermediate,True,
309,62,13,Expert,False,
310,63,19,Intermediate,True,
311,63,138,Intermediate,True,
312,63,118,Expert,False,
313,63,72,Expert,False,
314,63,150,Expert,True,
315,63,34,Expert,True,
316,64,165,Intermediate,False,
317,64,134,Advanced,True,
318,64,78,Advanced,True,
319,64,173,Advanced,True,
320,65,56,Intermediate,True,
321,65,182,Expert,False,
322,65,196,Advanced,True,
323,65,135,Intermediate,True,
324,65,66,Intermediate,False,
325,65,107,Intermediate,False,
326,66,157,Intermediate,True,
327,66,126,Intermediate,True,
328,66,182,Advanced,False,
329,66,163,Expert,True,
330,67,33,Intermediate,True,
331,67,185,Intermediate,False,
332,67,52,Intermediate,True,
333,67,159,Advanced,False,
334,67,200,Expert,True,
335,67,20,Expert,True,
336,68,165,Advanced,True,
337,68,189,Advanced,True,
338,68,69,Expert,True,
339,68,27,Advanced,True,
340,68,57,Intermediate,True,
341,69,114,Advanced,True,
342,69,37,Expert,True,
343,69,85,Advanced,False,
344,69,189,Advanced,True,
345,70,130,Intermediate,True,
346,70,165,Intermediate,False,
347,70,85,Intermediate,False,
348,70,178,Expert,False,
349,71,148,Intermediate,True,
350,71,78,Advanced,True,
351,71,75,Intermediate,False,
352,71,149,Intermediate,False,
353,71,138,Intermediate,True,
