id,employee_id,course_id,status,score,completion_date,expiry_date,hours_completed,certificate_issued,notes
70,12,92,Completed,69.0,2026-05-21T05:04:38.145026,2027-05-21T05:04:38.145026,24,True,
71,12,89,Expired,81.1,2025-08-14T05:04:38.145052,2025-08-04T05:04:38.145052,0.0,False,
72,12,55,In Progress,,,,31.5,False,
73,12,76,Expired,76.1,2026-04-27T05:04:38.145081,2026-04-17T05:04:38.145081,0.0,False,
74,12,45,Completed,67.4,2026-05-06T05:04:38.145104,2027-05-06T05:04:38.145104,8,True,
75,12,6,Expired,71.9,2025-07-28T05:04:38.145125,2025-07-18T05:04:38.145125,0.0,False,
76,13,83,Not Started,,,,0.0,False,
77,13,71,Not Started,,,,0.0,False,
78,13,1,Expired,88.1,2026-01-02T05:04:38.145166,2025-12-23T05:04:38.145166,0.0,False,
79,13,67,Not Started,,,,0.0,False,
80,13,72,Expired,75.0,2025-05-10T05:04:38.145191,2025-04-30T05:04:38.145191,0.0,False,
81,13,52,In Progress,,,,1.2,False,
82,13,99,Not Started,,,,0.0,False,
83,13,36,Expired,83.8,2026-02-17T05:04:38.145220,2026-02-07T05:04:38.145220,0.0,False,
84,14,83,Completed,68.3,2025-05-08T05:04:38.145250,2026-05-08T05:04:38.145250,8,True,
85,14,12,Expired,92.1,2026-04-14T05:04:38.145271,2026-04-04T05:04:38.145271,0.0,False,
86,14,69,Not Started,,,,0.0,False,
87,14,49,Completed,85.9,2025-08-20T05:04:38.145295,2026-08-20T05:04:38.145295,40,True,
88,14,60,Completed,99.0,2025-12-11T05:04:38.145317,2026-12-11T05:04:38.145317,40,True,
89,14,57,Completed,97.6,2026-03-07T05:04:38.145337,2027-03-07T05:04:38.145337,16,True,
90,14,97,Expired,70.1,2025-10-30T05:04:38.145357,2025-10-20T05:04:38.145357,0.0,False,
91,15,57,Expired,82.6,2025-09-25T05:04:38.145387,2025-09-15T05:04:38.145387,0.0,False,
92,15,11,Completed,91.7,2026-04-29T05:04:38.145408,2027-04-29T05:04:38.145408,40,True,
93,15,97,Completed,91.2,2025-06-10T05:04:38.145429,2026-06-10T05:04:38.145429,8,True,
94,15,77,Expired,92.0,2025-08-13T05:04:38.145453,2025-08-03T05:04:38.145453,0.0,False,
95,15,33,Not Started,,,,0.0,False,
96,15,100,Expired,69.2,2025-09-19T05:04:38.145476,2025-09-09T05:04:38.145476,0.0,False,
97,16,27,In Progress,,,,6.5,False,
98,16,77,Completed,92.4,2026-05-17T05:04:38.145513,2027-05-17T05:04:38.145513,24,True,
99,16,69,Not Started,,,,0.0,False,
100,16,81,Completed,86.3,2025-09-27T05:04:38.145537,2026-09-27T05:04:38.145537,8,True,
101,16,39,Completed,72.2,2026-06-04T05:04:38.145558,2027-06-04T05:04:38.145558,16,True,
102,16,59,Not Started,,,,0.0,False,
103,16,1,Completed,86.3,2026-05-05T05:04:38.145582,2027-05-05T05:04:38.145582,16,True,
104,17,16,In Progress,,,,15.7,False,
105,17,43,Not Started,,,,0.0,False,
106,17,22,Expired,81.3,2025-11-15T05:04:38.145617,2025-11-05T05:04:38.145617,0.0,False,
107,17,90,Not Started,,,,0.0,False,
108,17,42,Completed,86.0,2026-03-31T05:04:38.145642,2027-03-31T05:04:38.145642,24,True,
109,18,47,Expired,94.4,2026-03-21T05:04:38.145670,2026-03-11T05:04:38.145670,0.0,False,
110,18,55,In Progress,,,,11.7,False,
111,18,41,Completed,92.1,2025-06-28T05:04:38.145695,2026-06-28T05:04:38.145695,40,True,
112,18,21,Completed,83.7,2025-08-30T05:04:38.145716,2026-08-30T05:04:38.145716,4,True,
113,18,83,Expired,96.5,2025-08-02T05:04:38.145736,2025-07-23T05:04:38.145736,0.0,False,
114,19,7,Expired,85.8,2026-04-28T05:04:38.145766,2026-04-18T05:04:38.145766,0.0,False,
115,19,32,Completed,88.5,2026-04-19T05:04:38.145791,2027-04-19T05:04:38.145791,40,True,
116,19,55,In Progress,,,,39.0,False,
117,19,51,Not Started,,,,0.0,False,
118,19,73,In Progress,,,,16.0,False,
119,19,27,Expired,73.8,2025-09-18T05:04:38.145824,2025-09-08T05:04:38.145824,0.0,False,
120,19,72,Expired,93.6,2026-01-19T05:04:38.145847,2026-01-09T05:04:38.145847,0.0,False,
121,20,23,In Progress,,,,8.9,False,
122,20,81,Expired,87.3,2026-06-18T05:04:38.145883,2026-06-08T05:04:38.145883,0.0,False,
123,20,43,Expired,65.3,2025-12-31T05:04:38.145906,2025-12-21T05:04:38.145906,0.0,False,
124,20,28,Completed,94.6,2025-09-21T05:04:38.145928,2026-09-21T05:04:38.145928,4,True,
125,20,58,Expired,92.8,2025-12-14T05:04:38.145951,2025-12-04T05:04:38.145951,0.0,False,
126,20,25,Not Started,,,,0.0,False,
127,21,17,Not Started,,,,0.0,False,
128,21,51,Completed,73.0,2025-06-13T05:04:38.145986,2026-06-13T05:04:38.145986,8,True,
129,21,18,Not Started,,,,0.0,False,
130,21,41,In Progress,,,,1.7,False,
131,22,90,Not Started,,,,0.0,False,
132,22,68,In Progress,,,,38.3,False,
133,22,52,Completed,69.8,2026-01-23T05:04:38.146041,2027-01-23T05:04:38.146041,4,True,
134,22,10,Not Started,,,,0.0,False,
135,22,36,Completed,66.8,2026-05-27T05:04:38.146067,2027-05-27T05:04:38.146067,8,True,
136,22,48,Expired,88.6,2026-05-06T05:04:38.146090,2026-04-26T05:04:38.146090,0.0,False,
137,23,5,Completed,70.0,2025-07-05T05:04:38.146120,2026-07-05T05:04:38.146120,8,True,
138,23,3,Expired,68.6,2026-03-06T05:04:38.146143,2026-02-24T05:04:38.146143,0.0,False,
139,23,57,In Progress,,,,11.1,False,
140,23,36,Completed,94.9,2026-07-05T05:04:38.146170,2027-07-05T05:04:38.146170,8,True,
141,23,90,Completed,94.4,2026-05-10T05:04:38.146192,2027-05-10T05:04:38.146192,24,True,
142,24,95,Completed,89.2,2025-10-09T05:04:38.146224,2026-10-09T05:04:38.146224,8,True,
143,24,30,Expired,71.4,2026-07-18T05:04:38.146247,2026-07-08T05:04:38.146247,0.0,False,
144,24,78,Expired,76.4,2025-09-01T05:04:38.146270,2025-08-22T05:04:38.146270,0.0,False,
145,24,13,Completed,88.8,2026-03-10T05:04:38.146293,2027-03-10T05:04:38.146293,40,True,
146,24,98,Completed,79.2,2026-01-29T05:04:38.146316,2027-01-29T05:04:38.146316,16,True,
147,24,90,In Progress,,,,20.6,False,
148,25,58,Not Started,,,,0.0,False,
149,25,93,Completed,92.3,2025-08-30T05:04:38.146351,2026-08-30T05:04:38.146351,16,True,
150,25,56,Expired,94.0,2025-07-06T05:04:38.146374,2025-06-26T05:04:38.146374,0.0,False,
151,25,94,In Progress,,,,3.4,False,
152,26,44,Expired,93.9,2025-12-12T05:04:38.146408,2025-12-02T05:04:38.146408,0.0,False,
153,26,21,Not Started,,,,0.0,False,
154,26,36,Expired,70.8,2026-01-31T05:04:38.146435,2026-01-21T05:04:38.146435,0.0,False,
155,26,45,Expired,66.0,2025-12-02T05:04:38.146458,2025-11-22T05:04:38.146458,0.0,False,
156,26,38,Not Started,,,,0.0,False,
157,27,28,Not Started,,,,0.0,False,
158,27,45,Not Started,,,,0.0,False,
159,27,85,Completed,92.0,2025-08-31T05:04:38.146496,2026-08-31T05:04:38.146496,40,True,
160,27,100,Completed,85.4,2025-08-30T05:04:38.146519,2026-08-30T05:04:38.146519,8,True,
161,27,37,Not Started,,,,0.0,False,
162,28,6,Not Started,,,,0.0,False,
163,28,72,In Progress,,,,2.4,False,
164,28,66,Not Started,,,,0.0,False,
165,28,99,In Progress,,,,28.6,False,
166,28,55,In Progress,,,,32.6,False,
167,28,12,Not Started,,,,0.0,False,
168,28,43,Completed,81.4,2026-02-26T05:04:38.146597,2027-02-26T05:04:38.146597,4,True,
169,29,14,Not Started,,,,0.0,False,
170,29,19,Not Started,,,,0.0,False,
171,29,74,Expired,73.2,2026-06-09T05:04:38.146638,2026-05-30T05:04:38.146638,0.0,False,
172,29,94,Completed,88.9,2026-01-20T05:04:38.146662,2027-01-20T05:04:38.146662,4,True,
173,29,54,Completed,83.4,2025-09-08T05:04:38.146685,2026-09-08T05:04:38.146685,8,True,
174,30,50,Not Started,,,,0.0,False,
175,30,35,Completed,83.4,2025-05-21T05:04:38.146723,2026-05-21T05:04:38.146723,16,True,
176,30,32,In Progress,,,,12.8,False,
177,30,20,In Progress,,,,5.1,False,
178,30,43,Not Started,,,,0.0,False,
179,30,7,Expired,92.5,2025-09-09T05:04:38.146756,2025-08-30T05:04:38.146756,0.0,False,
180,30,66,Not Started,,,,0.0,False,
181,31,63,Expired,98.7,2025-12-25T05:04:38.146789,2025-12-15T05:04:38.146789,0.0,False,
182,31,75,Not Started,,,,0.0,False,
183,31,78,In Progress,,,,17.4,False,
184,31,96,Completed,83.5,2025-06-03T05:04:38.146822,2026-06-03T05:04:38.146822,4,True,
185,32,10,Completed,95.0,2025-05-03T05:04:38.146854,2026-05-03T05:04:38.146854,16,True,
186,32,82,In Progress,,,,6.6,False,
187,32,13,Expired,72.7,2026-07-15T05:04:38.146934,2026-07-05T05:04:38.146934,0.0,False,
188,32,75,Not Started,,,,0.0,False,
189,32,17,Completed,76.1,2026-03-29T05:04:38.146989,2027-03-29T05:04:38.146989,40,True,
190,32,42,Completed,82.6,2025-07-03T05:04:38.147003,2026-07-03T05:04:38.147003,24,True,
191,33,85,Expired,98.0,2026-07-15T05:04:38.147028,2026-07-05T05:04:38.147028,0.0,False,
192,33,50,Completed,73.5,2025-12-13T05:04:38.147040,2026-12-13T05:04:38.147040,16,True,
193,33,77,Not Started,,,,0.0,False,
194,33,35,In Progress,,,,10.1,False,
195,33,16,Completed,93.5,2026-03-20T05:04:38.147055,2027-03-20T05:04:38.147055,16,True,
196,33,70,Completed,71.5,2025-11-28T05:04:38.147065,2026-11-28T05:04:38.147065,16,True,
197,33,78,Not Started,,,,0.0,False,
198,33,53,Expired,78.3,2025-07-10T05:04:38.147077,2025-06-30T05:04:38.147077,0.0,False,
199,34,37,In Progress,,,,13.1,False,
200,34,58,Completed,84.8,2026-04-19T05:04:38.147095,2027-04-19T05:04:38.147095,24,True,
201,34,49,Expired,73.6,2025-08-10T05:04:38.147105,2025-07-31T05:04:38.147105,0.0,False,
202,34,38,In Progress,,,,2.6,False,
203,34,71,Completed,67.7,2025-10-11T05:04:38.147119,2026-10-11T05:04:38.147119,16,True,
204,34,23,In Progress,,,,17.3,False,
205,34,9,Completed,71.1,2026-07-20T05:04:38.147130,2027-07-20T05:04:38.147130,4,True,
206,35,48,In Progress,,,,5.9,False,
207,35,76,Expired,97.9,2026-05-21T05:04:38.147145,2026-05-11T05:04:38.147145,0.0,False,
208,35,59,Completed,94.8,2025-08-28T05:04:38.147155,2026-08-28T05:04:38.147155,24,True,
209,35,40,In Progress,,,,4.1,False,
210,35,94,Completed,77.6,2026-07-06T05:04:38.147167,2027-07-06T05:04:38.147167,4,True,
211,36,72,Not Started,,,,0.0,False,
212,36,99,Not Started,,,,0.0,False,
213,36,52,Not Started,,,,0.0,False,
214,36,88,In Progress,,,,11.7,False,
215,36,82,Completed,94.5,2025-11-20T05:04:38.147186,2026-11-20T05:04:38.147186,16,True,
216,36,26,In Progress,,,,3.6,False,
217,37,57,Not Started,,,,0.0,False,
218,37,53,Expired,91.4,2025-10-16T05:04:38.147202,2025-10-06T05:04:38.147202,0.0,False,
219,37,39,Completed,92.6,2025-04-26T05:04:38.147212,2026-04-26T05:04:38.147212,16,True,
220,37,58,Completed,84.9,2025-07-03T05:04:38.147222,2026-07-03T05:04:38.147222,24,True,
221,38,62,Completed,73.6,2025-09-24T05:04:38.147236,2026-09-24T05:04:38.147236,40,True,
222,38,1,Expired,65.5,2026-04-10T05:04:38.147246,2026-03-31T05:04:38.147246,0.0,False,
223,38,6,Completed,89.6,2025-04-13T05:04:38.147255,2026-04-13T05:04:38.147255,16,True,
224,38,60,Not Started,,,,0.0,False,
225,38,47,Not Started,,,,0.0,False,
226,38,90,Completed,68.3,2025-09-18T05:04:38.147268,2026-09-18T05:04:38.147268,24,True,
227,39,95,In Progress,,,,1.9,False,
228,39,71,Completed,69.9,2025-11-28T05:04:38.147287,2026-11-28T05:04:38.147287,16,True,
229,39,17,In Progress,,,,6.8,False,
230,39,42,Expired,74.2,2026-05-17T05:04:38.147298,2026-05-07T05:04:38.147298,0.0,False,
231,40,28,In Progress,,,,2.1,False,
232,40,49,Completed,80.8,2026-06-01T05:04:38.147313,2027-06-01T05:04:38.147313,40,True,
233,40,84,Not Started,,,,0.0,False,
234,40,70,In Progress,,,,0.7,False,
235,40,69,Not Started,,,,0.0,False,
236,40,31,In Progress,,,,9.2,False,
237,40,10,Completed,69.5,2026-05-28T05:04:38.147332,2027-05-28T05:04:38.147332,16,True,
238,41,88,In Progress,,,,1.5,False,
239,41,96,Expired,67.9,2026-07-13T05:04:38.147348,2026-07-03T05:04:38.147348,0.0,False,
240,41,66,Expired,89.5,2026-07-23T05:04:38.147357,2026-07-13T05:04:38.147357,0.0,False,
241,41,20,Expired,83.2,2026-04-09T05:04:38.147367,2026-03-30T05:04:38.147367,0.0,False,
242,41,8,Not Started,,,,0.0,False,
243,41,28,Expired,98.7,2026-03-02T05:04:38.147378,2026-02-20T05:04:38.147378,0.0,False,
244,41,17,In Progress,,,,31.7,False,
245,41,23,In Progress,,,,14.6,False,
246,42,35,Expired,72.4,2026-06-20T05:04:38.147394,2026-06-10T05:04:38.147394,0.0,False,
247,42,83,Expired,74.5,2026-05-16T05:04:38.147404,2026-05-06T05:04:38.147404,0.0,False,
248,42,96,Expired,95.5,2026-04-02T05:04:38.147414,2026-03-23T05:04:38.147414,0.0,False,
249,42,93,Not Started,,,,0.0,False,
250,42,58,Completed,65.4,2025-07-23T05:04:38.147425,2026-07-23T05:04:38.147425,24,True,
251,42,23,Expired,85.7,2026-06-30T05:04:38.147435,2026-06-20T05:04:38.147435,0.0,False,
252,43,84,Completed,83.0,2025-05-23T05:04:38.147447,2026-05-23T05:04:38.147447,4,True,
253,43,44,Not Started,,,,0.0,False,
254,43,98,Not Started,,,,0.0,False,
255,43,10,In Progress,,,,14.0,False,
256,44,34,Completed,82.5,2026-04-01T05:04:38.147464,2027-04-01T05:04:38.147464,24,True,
257,44,52,Expired,72.8,2026-04-25T05:04:38.147474,2026-04-15T05:04:38.147474,0.0,False,
258,44,40,Not Started,,,,0.0,False,
259,44,41,In Progress,,,,15.9,False,
260,44,89,In Progress,,,,7.3,False,
261,45,35,Expired,82.3,2025-10-22T05:04:38.147492,2025-10-12T05:04:38.147492,0.0,False,
262,45,80,In Progress,,,,15.4,False,
263,45,29,Not Started,,,,0.0,False,
264,45,43,Expired,97.1,2026-05-18T05:04:38.147505,2026-05-08T05:04:38.147505,0.0,False,
265,45,78,Completed,79.9,2025-04-23T05:04:38.147515,2026-04-23T05:04:38.147515,40,True,
266,45,56,Completed,94.7,2025-11-30T05:04:38.147524,2026-11-30T05:04:38.147524,40,True,
267,46,81,Completed,93.8,2025-06-07T05:04:38.147538,2026-06-07T05:04:38.147538,8,True,
268,46,100,Expired,76.6,2025-08-10T05:04:38.147548,2025-07-31T05:04:38.147548,0.0,False,
269,46,28,Not Started,,,,0.0,False,
270,46,19,In Progress,,,,3.3,False,
271,46,18,Not Started,,,,0.0,False,
272,46,82,In Progress,,,,13.8,False,
273,47,88,Not Started,,,,0.0,False,
274,47,59,Completed,83.8,2025-11-05T05:04:38.147569,2026-11-05T05:04:38.147569,24,True,
275,47,14,Completed,96.1,2026-05-13T05:04:38.147579,2027-05-13T05:04:38.147579,40,True,
276,47,83,Completed,87.6,2026-02-07T05:04:38.147589,2027-02-07T05:04:38.147589,8,True,
277,47,3,Completed,76.5,2026-03-15T05:04:38.147598,2027-03-15T05:04:38.147598,40,True,
278,47,73,Expired,74.4,2025-06-15T05:04:38.147607,2025-06-05T05:04:38.147607,0.0,False,
279,48,20,Not Started,,,,0.0,False,
280,48,43,Expired,77.6,2026-02-16T05:04:38.147622,2026-02-06T05:04:38.147622,0.0,False,
281,48,41,Completed,94.1,2025-07-06T05:04:38.147632,2026-07-06T05:04:38.147632,40,True,
282,48,54,Expired,66.0,2026-02-19T05:04:38.147642,2026-02-09T05:04:38.147642,0.0,False,
283,49,53,Completed,75.9,2025-09-14T05:04:38.147655,2026-09-14T05:04:38.147655,40,True,
284,49,99,Not Started,,,,0.0,False,
285,49,55,Not Started,,,,0.0,False,
286,49,84,In Progress,,,,3.1,False,
287,49,67,Not Started,,,,0.0,False,
288,50,83,Completed,71.7,2026-01-05T05:04:38.147674,2027-01-05T05:04:38.147674,8,True,
289,50,9,Completed,65.5,2026-02-13T05:04:38.147684,2027-02-13T05:04:38.147684,4,True,
290,50,90,Completed,83.4,2026-02-25T05:04:38.147693,2027-02-25T05:04:38.147693,24,True,
291,50,21,Expired,81.1,2025-05-18T05:04:38.147703,2025-05-08T05:04:38.147703,0.0,False,
292,50,49,In Progress,,,,16.7,False,
293,50,35,In Progress,,,,10.7,False,
294,50,39,In Progress,,,,10.8,False,
295,50,52,Expired,77.5,2025-09-09T05:04:38.147717,2025-08-30T05:04:38.147717,0.0,False,
296,51,71,Expired,73.7,2026-04-01T05:04:38.147730,2026-03-22T05:04:38.147730,0.0,False,
297,51,76,Not Started,,,,0.0,False,
298,51,96,Expired,76.9,2025-12-05T05:04:38.147741,2025-11-25T05:04:38.147741,0.0,False,
299,51,5,Expired,70.4,2025-06-28T05:04:38.147751,2025-06-18T05:04:38.147751,0.0,False,
300,51,39,In Progress,,,,13.4,False,
301,52,62,Completed,70.0,2026-01-15T05:04:38.147765,2027-01-15T05:04:38.147765,40,True,
302,52,8,Not Started,,,,0.0,False,
303,52,17,In Progress,,,,5.8,False,
304,52,43,In Progress,,,,3.0,False,
305,52,47,Expired,82.3,2026-05-04T05:04:38.147779,2026-04-24T05:04:38.147779,0.0,False,
306,53,10,Not Started,,,,0.0,False,
307,53,4,In Progress,,,,18.4,False,
308,53,52,Completed,67.8,2025-11-20T05:04:38.147794,2026-11-20T05:04:38.147794,4,True,
309,53,94,In Progress,,,,2.7,False,
310,53,39,In Progress,,,,5.6,False,
311,54,36,Not Started,,,,0.0,False,
312,54,1,In Progress,,,,1.4,False,
313,54,12,Expired,65.2,2025-04-08T05:04:38.147815,2025-03-29T05:04:38.147815,0.0,False,
314,54,94,In Progress,,,,3.6,False,
315,54,31,Expired,93.4,2025-07-13T05:04:38.147827,2025-07-03T05:04:38.147827,0.0,False,
316,54,68,Expired,92.1,2025-10-24T05:04:38.147836,2025-10-14T05:04:38.147836,0.0,False,
317,54,46,In Progress,,,,25.0,False,
318,54,73,Expired,85.8,2025-05-08T05:04:38.147848,2025-04-28T05:04:38.147848,0.0,False,
319,55,86,Completed,88.4,2026-05-25T05:04:38.147860,2027-05-25T05:04:38.147860,8,True,
320,55,68,Not Started,,,,0.0,False,
321,55,36,Completed,75.1,2025-08-29T05:04:38.147871,2026-08-29T05:04:38.147871,8,True,
322,55,17,Completed,99.0,2025-04-20T05:04:38.147881,2026-04-20T05:04:38.147881,40,True,
323,55,59,In Progress,,,,9.0,False,
324,56,29,Completed,72.7,2025-08-23T05:04:38.147895,2026-08-23T05:04:38.147895,8,True,
325,56,95,Completed,78.6,2025-04-11T05:04:38.147905,2026-04-11T05:04:38.147905,8,True,
326,56,77,In Progress,,,,9.1,False,
327,56,92,Not Started,,,,0.0,False,
328,56,46,Completed,79.8,2025-03-28T05:04:38.147917,2026-03-28T05:04:38.147917,40,True,
329,56,30,Completed,82.3,2026-01-05T05:04:38.147926,2027-01-05T05:04:38.147926,4,True,
330,57,44,Expired,95.9,2026-06-03T05:04:38.147939,2026-05-24T05:04:38.147939,0.0,False,
331,57,5,Expired,72.4,2026-01-23T05:04:38.147948,2026-01-13T05:04:38.147948,0.0,False,
332,57,42,In Progress,,,,16.9,False,
333,57,71,In Progress,,,,8.0,False,
334,57,41,Completed,98.7,2025-03-30T05:04:38.147961,2026-03-30T05:04:38.147961,40,True,
335,58,2,Not Started,,,,0.0,False,
336,58,79,In Progress,,,,9.3,False,
337,58,61,In Progress,,,,2.9,False,
338,58,63,Not Started,,,,0.0,False,
339,58,30,Completed,66.0,2026-05-08T05:04:38.147980,2027-05-08T05:04:38.147980,4,True,
340,59,67,Completed,74.8,2025-10-06T05:04:38.147994,2026-10-06T05:04:38.147994,24,True,
341,59,36,Not Started,,,,0.0,False,
342,59,12,Expired,99.4,2026-02-27T05:04:38.148005,2026-02-17T05:04:38.148005,0.0,False,
343,59,16,In Progress,,,,2.5,False,
344,59,61,Expired,80.2,2025-08-12T05:04:38.148016,2025-08-02T05:04:38.148016,0.0,False,
345,59,5,In Progress,,,,7.0,False,
346,59,2,In Progress,,,,6.0,False,
347,60,8,Not Started,,,,0.0,False,
348,60,95,Expired,97.5,2025-06-12T05:04:38.148033,2025-06-02T05:04:38.148033,0.0,False,
349,60,56,In Progress,,,,18.4,False,
350,60,11,Not Started,,,,0.0,False,
351,60,68,Completed,99.7,2026-01-05T05:04:38.148046,2027-01-05T05:04:38.148046,40,True,
352,60,7,In Progress,,,,1.0,False,
353,61,80,Expired,81.2,2026-02-19T05:04:38.148060,2026-02-09T05:04:38.148060,0.0,False,
354,61,36,Not Started,,,,0.0,False,
355,61,1,Not Started,,,,0.0,False,
356,61,45,Expired,92.4,2025-08-27T05:04:38.148073,2025-08-17T05:04:38.148073,0.0,False,
357,62,16,In Progress,,,,13.2,False,
358,62,48,Completed,98.1,2026-01-17T05:04:38.148089,2027-01-17T05:04:38.148089,8,True,
359,62,94,In Progress,,,,2.7,False,
360,62,72,Not Started,,,,0.0,False,
361,62,8,Not Started,,,,0.0,False,
362,62,1,Completed,74.7,2026-05-02T05:04:38.148102,2027-05-02T05:04:38.148102,16,True,
363,63,97,Expired,89.3,2026-07-10T05:04:38.148115,2026-06-30T05:04:38.148115,0.0,False,
364,63,15,Completed,73.4,2025-12-01T05:04:38.148125,2026-12-01T05:04:38.148125,40,True,
365,63,41,Expired,72.5,2026-04-24T05:04:38.148134,2026-04-14T05:04:38.148134,0.0,False,
366,63,74,Completed,84.4,2025-07-01T05:04:38.148144,2026-07-01T05:04:38.148144,40,True,
367,63,3,Not Started,,,,0.0,False,
368,63,91,Completed,92.3,2025-12-22T05:04:38.148155,2026-12-22T05:04:38.148155,8,True,
369,63,55,Expired,95.7,2026-02-15T05:04:38.148164,2026-02-05T05:04:38.148164,0.0,False,
370,64,7,In Progress,,,,17.3,False,
371,64,66,Expired,65.1,2026-01-13T05:04:38.148178,2026-01-03T05:04:38.148178,0.0,False,
